Features,chunk 1,chunk 2,chunk 3,chunk 4,chunk 5,E,STD
R2_train,0.33007629411640793,0.30307086124742033,0.30805712178061717,0.33304796984032914,0.31793768194462935,0.3184379857858808,0.0117733853489772
RMSE_train,28.843231697267996,29.92592889313813,29.314441254270342,28.58570658518897,29.837172129652473,29.301296111903582,0.5290356115155473
R2_test,0.2697292661749453,0.3726839453898305,0.33062065792370576,0.2643268640913775,0.3137156965737401,0.3102152860307198,0.04018912925165371
RMSE_test,31.186284710647545,26.9656164022526,29.853893519645275,32.07492963556872,27.200488061215125,29.456242465865852,2.063993272514152
b,4.301475153249578,4.348244502987369,4.3301558758231256,4.3412252027499525,4.363566250071853,4.3369333969763755,0.020779275353904992
Page Popularity,-0.06534273869898179,-0.13420452588702453,-0.5382710912561817,0.023550990619533144,-0.09000366930690627,-0.16085420690591223,0.19560226287166682
Page Checkins,-0.5884075711877689,-0.6741457082892027,-0.6091898632556035,-0.5799011170280455,-0.6845050730054224,-0.6272298665532086,0.043713083505914414
Page talking about,-1.026365163338829,-0.7782130652463527,-0.6319002978903628,-1.335379144415115,-1.0447277852345112,-0.9633170912250343,0.242129520405151
extra_0,-0.03342875212102814,-0.18774545469405743,-0.24232572726148743,-0.231110742985256,-0.20002714942040759,-0.17892756529644732,0.0754125496629511
extra_1,0.3625889845362022,0.29617789009815926,0.3207775220013058,0.40180996139156266,0.30477384536932156,0.3372256406793103,0.0395550531490618
extra_2,0.13778958020232512,0.5132751867835599,0.4688310451718328,0.2033457605910142,0.4445958787961708,0.3535674903089806,0.15245004261912593
extra_3,0.47436270560280075,0.2608295702724903,0.23032538911172148,0.40274193139616477,0.3285643502229093,0.33936478932121733,0.08990563992514805
extra_4,0.5792607080762675,0.8495465859219027,0.7401555110004743,0.7412355818888251,0.9213258225630956,0.766304841890113,0.11598142583657692
extra_5,-0.8191203788914924,0.06799413524710696,0.5804479547447684,-0.8050044639569826,-0.7190134130583994,-0.3389392331829998,0.5662357604224386
extra_6,-0.1611576836983138,-0.2225485541071944,-0.48408583286708273,-0.25158665865377955,-0.36172896681986016,-0.2962215392292461,0.11423348218910567
extra_7,0.5419801054697537,0.5929705644916055,0.8244449998816031,0.6879960412415953,0.6601148898009556,0.6615013201771026,0.09616269591589197
extra_8,1.9445998128425637,0.9888381175148677,1.8163572325318798,2.2373247244311045,1.813432045927398,1.7601103866495627,0.4153643443333408
extra_9,0.15449975742191577,0.18283032869602522,-0.006389041278634949,0.1265197385500269,0.22508112988232395,0.13650838265433138,0.07852896354893714
extra_10,-0.2687053718593677,0.06245736229313392,-0.03855754384210431,-0.05550417394490737,-0.09479715587798121,-0.07902137664624534,0.10810689840186391
extra_11,0.9217596372604735,0.8469098038762002,0.9270373487639968,0.7781220249453004,0.8231859751223736,0.8594029579936688,0.05751018186264489
extra_12,0.7670142692664431,1.0387233547319714,0.9393483457965037,0.8639796235784922,0.911902489424706,0.9041936165596232,0.08925118566894036
extra_13,2.7864436247890016,1.6096289793821823,1.713715676194463,2.737488024099686,2.1272401514012746,2.1949032911733215,0.4945672856213541
extra_14,0.4712736742647852,0.8893932445411238,0.8098590643445477,0.6082138140542391,0.7269170452514443,0.701131368491228,0.1479171244062217
extra_15,-0.08804519024422701,-0.18872049450472267,-0.2837107876341825,-0.3326669404202822,-0.2336781934243407,-0.22536432124555103,0.08388873162656947
extra_16,-0.0036118391552269753,-0.20429193755051345,-0.20613594181272615,-0.10011832028746132,-0.12866558274354453,-0.1285647243098945,0.07506575276751504
extra_17,-0.13008979394384865,0.230425979606634,0.26477626542384813,-0.0930953742701013,0.19983741947322112,0.09437089925795066,0.16982247618985244
extra_18,0.17223802584394615,-0.06675593020354503,0.03027916093666382,0.06434280931559384,0.1375959599581082,0.06754000517015339,0.08402797530166163
extra_19,0.24580709990177887,0.41270648154821216,0.36193416425745806,0.30328760697845325,0.5303819967181037,0.3708234698808012,0.09744979779146223
extra_20,1.353252794556117,1.2636918109125181,1.051279572001134,1.370889414758829,1.4473562723095261,1.297293972907625,0.13617530115808266
extra_21,-0.2651352394991239,-0.22941246249033895,-0.46605053814844405,-0.25242598116681836,-0.47922431010119315,-0.3384497062811837,0.11023944324014996
extra_22,0.4488147801737906,0.07460696134374634,0.7379608216359242,0.5843192631500882,0.44069990149929045,0.45728034556056796,0.21986628306438788
extra_23,0.1046232578606019,-0.47571902057388077,0.6500963539106259,-0.010940850753398899,0.07134373152506403,0.06788069439380243,0.35834356946238977
extra_24,-0.008450716582891857,0.2342592007553771,0.042405047597513595,0.10762612279276312,0.07208347293553391,0.08958462549965918,0.0817304833698415
CC1,0.8454739679489622,0.8216176653839831,0.6979059871027218,0.6591095519676278,0.7872186006980333,0.7622651546202657,0.07190588629988967
CC2,8.578399111798744,8.172614749291998,8.093239132989313,8.36288086576146,8.283173960494354,8.298061564067172,0.16775068100625337
CC3,1.1012858474753948,1.1449982397149923,0.9237150972919443,1.0128498549081884,1.0312227084994399,1.042814349577992,0.07625920593436943
CC4,1.0024398325890613,0.9109534969337669,0.9035815926228188,0.9042368856014327,0.8904604803607487,0.9223344576215657,0.040599359231319174
CC5,7.128035758422121,6.762836730371919,6.864815514948786,7.018317550663551,6.939198470960446,6.942640805073364,0.12529675915734806
Base Time,-4.390178419665509,-4.599644954879956,-4.518552259686402,-4.508161583205795,-4.581241817450966,-4.519555806977726,0.07360540644555409
Post Length,0.13423195560255616,0.16421928979013917,0.024835520917808534,0.13599094024204794,0.01117958646983101,0.09409145860447657,0.0631751568471124
Post Share Count,2.0340252217307113,2.0711825662684284,3.5322414017594803,2.400056586280615,1.9815084238898928,2.4038028399858256,0.582939435864599
H Local,0.8789751411104693,0.8031296745278534,0.8485880894576344,0.7455574298678448,0.8383010744571991,0.8229102818842001,0.045638209606238725
Page Category,1.011439119516977,1.009141568066656,1.0085919903937484,1.009245069900692,1.0087310520314214,1.009429759981899,0.0010338995531681988
Post Promotion Status,1.0,1.0,1.0,1.0,1.0,1.0,0.0
published_weekday_0,1.362601550838001,1.2852431127077502,1.436666473831203,1.2543471219273141,1.3233075523364433,1.332433162328142,0.06353317580375041
published_weekday_1,1.4198282093348638,1.4290845715892602,1.3667465983296183,1.2855622581727553,1.3074279081449522,1.3617299091142896,0.05777101102723701
published_weekday_2,1.4233613748733298,1.3414766167063106,1.3662565923347878,1.5151397561353201,1.2924153163040362,1.3877299312707572,0.07640446644631826
published_weekday_3,1.6772292844983188,1.9319361826443295,1.8721651148756557,1.9770701777260653,1.8539270422601766,1.8624655604009093,0.10241079164467218
published_weekday_4,1.392844717845347,1.4399849552007855,1.559187514389522,1.43074606844603,1.6084932727206918,1.4862513057204754,0.08271515731094764
published_weekday_5,1.7666024858200817,1.5164874185393347,1.6216721419258073,1.639459659571813,1.7036878255057726,1.6495819062725616,0.08392475680374713
published_weekday_6,1.2590075300396366,1.4040316455995918,1.1074614401365377,1.2389001607706454,1.2743073327997783,1.256741621869238,0.0944573237214572
base_weekday_0,1.3164678320471883,1.257780544238567,1.3683788090301896,1.2139248930669913,1.208823281031318,1.2730750718828507,0.06136235459362328
base_weekday_1,1.6595891262302302,1.6375208904809844,1.6442020026455502,1.5441044784381845,1.5184497687416867,1.6007732533073273,0.05776548826212907
base_weekday_2,1.2259092458926109,1.2059103104985172,1.2302742859731628,1.304127413327471,1.2598912839173981,1.245222507921832,0.03413754872846345
base_weekday_3,1.5979186279216195,1.755051104431519,1.82117923355557,1.963264638602921,1.712689015021847,1.7700205239066953,0.12090537578599309
base_weekday_4,1.4765783582972865,1.4711563265847072,1.4250154923989735,1.3857047163226406,1.5613175447656966,1.4639544876738608,0.058872855458213996
base_weekday_5,1.677484184962879,1.6005365023731963,1.6182727410584568,1.618089157793048,1.7345283210485392,1.649782181447224,0.04974281589441135
base_weekday_6,1.3475277778977712,1.42028882437987,1.222833311161231,1.312009905198685,1.3678670355453755,1.3341053708365866,0.06575299163691894
